"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"211507896","2021 Apr 11 12:00:00 AM","2020 Nov 07 12:00:00 AM","0845","15","N Hollywood","1502","2","354","THEFT OF IDENTITY","0377","31","M","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"7800    BEEMAN                       AV",,"34.2124","-118.4092"
"201516622","2020 Oct 21 12:00:00 AM","2020 Oct 18 12:00:00 AM","1845","15","N Hollywood","1521","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 0334 2004 1822 1414 0305 0319 0400","32","M","H","102","SIDEWALK","200","KNIFE WITH BLADE 6INCHES OR LESS","IC","Invest Cont","230",,,,"ATOLL                        AV","N  GAULT","34.1993","-118.4203"
"240913563","2024 Dec 10 12:00:00 AM","2020 Oct 30 12:00:00 AM","1240","09","Van Nuys","0933","2","354","THEFT OF IDENTITY","0377","30","M","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"14600    SYLVAN                       ST",,"34.1847","-118.4509"
"210704711","2020 Dec 24 12:00:00 AM","2020 Dec 24 12:00:00 AM","1310","07","Wilshire","0782","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0344","47","F","A","101","STREET",,,"IC","Invest Cont","331",,,,"6000    COMEY                        AV",,"34.0339","-118.3747"
"201418201","2020 Oct 03 12:00:00 AM","2020 Sep 29 12:00:00 AM","1830","14","Pacific","1454","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","1300 0344 1606 2032","63","M","H","103","ALLEY",,,"IC","Invest Cont","420",,,,"4700    LA VILLA MARINA",,"33.9813","-118.435"
"240412063","2024 Dec 11 12:00:00 AM","2020 Nov 11 12:00:00 AM","1210","04","Hollenbeck","0429","2","354","THEFT OF IDENTITY","0100","35","M","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"5300    CRONUS                       ST",,"34.083","-118.1678"
"240317069","2024 Dec 16 12:00:00 AM","2020 Apr 16 12:00:00 AM","1350","03","Southwest","0396","2","354","THEFT OF IDENTITY","0100 0928 1822","21","F","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"900 W  40TH                         PL",,"34.01","-118.29"
"201115217","2020 Oct 29 12:00:00 AM","2020 Jul 07 12:00:00 AM","1400","11","Northeast","1133","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","1259 0448 0304 1822 0500 0522","14","F","H","121","YARD (RESIDENTIAL/BUSINESS)","500","UNKNOWN WEAPON/OTHER WEAPON","AO","Adult Other","812","860",,,"3000    ACRESITE                     ST",,"34.1107","-118.2589"
"241708596","2024 Apr 20 12:00:00 AM","2020 Mar 02 12:00:00 AM","1200","17","Devonshire","1729","2","354","THEFT OF IDENTITY","1501","43","M","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"17700    SIMONDS                      ST",,"34.2763","-118.521"
"242113813","2024 Dec 18 12:00:00 AM","2020 Sep 01 12:00:00 AM","0900","21","Topanga","2196","2","354","THEFT OF IDENTITY","0930","57","M","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"20900    MARMORA                      ST",,"34.1493","-118.5886"
"240605846","2024 Feb 06 12:00:00 AM","2020 Jun 20 12:00:00 AM","0001","06","Hollywood","0657","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","0500 1251 0913 0522 0551 1259 0558","13","M","H","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","812","860",,,"1000 N  RIDGEWOOD                    PL",,"34.0878","-118.3146"
"242014110","2024 Dec 18 12:00:00 AM","2020 Nov 17 12:00:00 AM","1320","20","Olympic","2023","2","354","THEFT OF IDENTITY","0100 0928 1822","34","F","A","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"400 S  ARDMORE                      AV",,"34.0672","-118.3016"
"202113531","2020 Sep 06 12:00:00 AM","2020 Sep 05 12:00:00 AM","1500","21","Topanga","2149","1","510","VEHICLE - STOLEN",,"0",,,"108","PARKING LOT",,,"AA","Adult Arrest","510",,,,"19700    VANOWEN                      ST",,"34.1938","-118.5631"
"201710725","2020 Jul 03 12:00:00 AM","2020 Jul 02 12:00:00 AM","0500","17","Devonshire","1762","1","310","BURGLARY","0344","0","X","X","203","OTHER BUSINESS",,,"IC","Invest Cont","310",,,,"9500    COZYCROFT                    AV",,"34.2427","-118.582"
"201406733","2020 Feb 16 12:00:00 AM","2020 Feb 13 12:00:00 AM","2300","14","Pacific","1406","1","330","BURGLARY FROM VEHICLE","0344 1300","32","M","W","707","GARAGE/CARPORT",,,"IC","Invest Cont","330",,,,"3300    MOTOR                        AV",,"34.024","-118.409"
"201405970","2020 Feb 01 12:00:00 AM","2020 Feb 01 12:00:00 AM","1658","14","Pacific","1494","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","1822 0344","39","M","O","212","TRANSPORTATION FACILITY (AIRPORT)",,,"AO","Adult Other","440",,,,"300    WORLD                        WY",,"33.944","-118.4073"
"201820230","2020 Nov 08 12:00:00 AM","2020 Nov 08 12:00:00 AM","0730","18","Southeast","1844","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 1300 0416 1814 0446 1310 0400","26","F","B","101","STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626",,,,"108TH                        ST","AVALON                       AV","33.9383","-118.2652"
"201707577","2020 Mar 20 12:00:00 AM","2020 Mar 20 12:00:00 AM","1320","17","Devonshire","1752","2","624","BATTERY - SIMPLE ASSAULT","0202 1300 1822 0356","21","F","W","210","RESTAURANT/FAST FOOD","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","624",,,,"20900    DEVONSHIRE                   ST",,"34.2572","-118.5885"
"201514848","2020 Sep 04 12:00:00 AM","2020 Aug 17 12:00:00 AM","0400","15","N Hollywood","1549","1","310","BURGLARY","1605 0344 1420","0","M","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"AA","Adult Arrest","310",,,,"11100    CUMPSTON                     ST",,"34.17","-118.3722"
"201405023","2020 Jan 19 12:00:00 AM","2020 Jan 19 12:00:00 AM","1850","14","Pacific","1435","1","310","BURGLARY","1609 0344","37","M","A","501","SINGLE FAMILY DWELLING","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","310",,,,"3500    PURDUE                       AV",,"34.0158","-118.4258"
"211306997","2021 Mar 09 12:00:00 AM","2020 Nov 01 12:00:00 AM","1800","13","Newton","1313","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","0344 1300 1309","37","F","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","440",,,,"700 E  18TH                         ST",,"34.0283","-118.2562"
"201405778","2020 Jan 27 12:00:00 AM","2020 Jan 20 12:00:00 AM","1540","14","Pacific","1494","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","1822 0344","34","M","W","212","TRANSPORTATION FACILITY (AIRPORT)",,,"IC","Invest Cont","440",,,,"600    WORLD                        WY",,"33.943","-118.4035"
"202005291","2020 Jan 29 12:00:00 AM","2020 Jan 29 12:00:00 AM","0545","20","Olympic","2038","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","1822 2032 0344","0","X","X","203","OTHER BUSINESS",,,"IC","Invest Cont","440",,,,"3100    WILSHIRE                     BL",,"34.0618","-118.2891"
"201715737","2020 Nov 25 12:00:00 AM","2020 Nov 25 12:00:00 AM","1200","17","Devonshire","1777","1","310","BURGLARY","0344 1202 0352","69","F","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","310",,,,"9700    VALJEAN                      AV",,"34.2467","-118.4872"
"201608553","2020 Apr 28 12:00:00 AM","2020 Apr 28 12:00:00 AM","1730","16","Foothill","1622","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0421 1822","14","M","H","109","PARK/PLAYGROUND","114","AIR PISTOL/REVOLVER/RIFLE/BB GUN","AA","Adult Arrest","230",,,,"10900    HADDON                       AV",,"34.2685","-118.4364"
"202006163","2020 Feb 14 12:00:00 AM","2020 Feb 11 12:00:00 AM","1600","20","Olympic","2033","2","745","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1307 1822","24","M","H","122","VEHICLE, PASSENGER/TRUCK",,,"IC","Invest Cont","745",,,,"3700    WILSHIRE                     BL",,"34.0617","-118.3066"
"202009677","2020 May 13 12:00:00 AM","2020 May 13 12:00:00 AM","0900","20","Olympic","2042","1","520","VEHICLE - ATTEMPT STOLEN","1822 1607 0358","36","M","H","101","STREET",,,"IC","Invest Cont","520",,,,"900 S  WILTON                       PL",,"34.0559","-118.3142"
"201915689","2020 Oct 15 12:00:00 AM","2020 Oct 15 12:00:00 AM","0305","19","Mission","1918","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329","35","F","H","108","PARKING LOT",,,"IC","Invest Cont","740",,,,"13600    FOOTHILL                     BL",,"34.3069","-118.4297"
"201918078","2020 Dec 15 12:00:00 AM","2020 Dec 15 12:00:00 AM","1111","19","Mission","1983","1","210","ROBBERY","0344 0334 0312 1822 1402","19","M","H","108","PARKING LOT","114","AIR PISTOL/REVOLVER/RIFLE/BB GUN","IC","Invest Cont","210",,,,"8300 N  SEPULVEDA                    BL",,"34.2214","-118.4677"
"202013248","2020 Aug 09 12:00:00 AM","2020 Aug 09 12:00:00 AM","2250","20","Olympic","2069","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","0329 0416 0913 1814 2000 2002","43","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","626",,,,"1200 S  WESTMORELAND                 AV",,"34.0495","-118.2891"
"202011749","2020 Jul 04 12:00:00 AM","2020 Jun 26 12:00:00 AM","0700","20","Olympic","2021","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1822 0329","48","M","O","122","VEHICLE, PASSENGER/TRUCK",,,"IC","Invest Cont","740",,,,"4100 W  6TH                          ST",,"34.0633","-118.3141"
"201811813","2020 May 28 12:00:00 AM","2020 May 25 12:00:00 AM","0200","18","Southeast","1851","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"MENLO                        AV","130TH                        ST","33.9144","-118.2894"
"201809657","2020 Apr 15 12:00:00 AM","2020 Apr 15 12:00:00 AM","1550","18","Southeast","1871","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0913 0416 1814 1243","49","F","B","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626",,,,"800 W  ROSECRANS                    AV",,"33.9019","-118.2893"
"201409975","2020 Apr 22 12:00:00 AM","2020 Apr 21 12:00:00 AM","1930","14","Pacific","1446","1","330","BURGLARY FROM VEHICLE","0344 1300","43","M","H","101","STREET",,,"IC","Invest Cont","330",,,,"VENICE                       BL","INGLEWOOD                    BL","34.0056","-118.4301"
"201819653","2020 Oct 28 12:00:00 AM","2020 Oct 28 12:00:00 AM","1000","18","Southeast","1831","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1822 0329 1307 1100 1407","22","F","B","122","VEHICLE, PASSENGER/TRUCK",,,"IC","Invest Cont","740","998",,,"600 W  ATHENS                       BL",,"33.9213","-118.2847"
"201911106","2020 Jun 18 12:00:00 AM","2020 Apr 26 12:00:00 AM","1908","19","Mission","1995","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0450 1822 0395 0906","19","M","H","101","STREET","102","HAND GUN","IC","Invest Cont","230",,,,"14600    BLYTHE                       ST",,"34.2152","-118.451"
"201819475","2020 Oct 24 12:00:00 AM","2020 Oct 24 12:00:00 AM","2250","18","Southeast","1871","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0302 0913 0603 0361","39","M","H","101","STREET","106","UNKNOWN FIREARM","AO","Adult Other","230",,,,"800 W  148TH                        ST",,"33.8983","-118.2896"
"202106474","2020 Feb 24 12:00:00 AM","2020 Feb 24 12:00:00 AM","1835","21","Topanga","2187","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 1822","58","M","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","230",,,,"21700    VENTURA                      BL",,"34.1683","-118.6007"
"202115676","2020 Nov 05 12:00:00 AM","2020 Nov 03 12:00:00 AM","0330","21","Topanga","2158","1","310","BURGLARY","0344 1606 0209","46","M","X","203","OTHER BUSINESS",,,"IC","Invest Cont","310",,,,"6300    CANOGA                       AV",,"34.1849","-118.5974"
"201416348","2020 Aug 30 12:00:00 AM","2020 Aug 28 12:00:00 AM","1200","14","Pacific","1453","1","510","VEHICLE - STOLEN",,"0",,,"108","PARKING LOT",,,"IC","Invest Cont","510",,,,"4000    GLENCOE                      AV",,"33.9918","-118.4446"
"201420586","2020 Nov 20 12:00:00 AM","2020 Nov 18 12:00:00 AM","0630","14","Pacific","1403","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","1606 0344 1300","33","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","420",,,,"11200    SARDIS                       AV",,"34.0296","-118.4306"
"201504263","2020 Jan 05 12:00:00 AM","2020 Jan 05 12:00:00 AM","1300","15","N Hollywood","1527","1","330","BURGLARY FROM VEHICLE","0344 0321","23","M","H","108","PARKING LOT",,,"IC","Invest Cont","330",,,,"11000    VICTORY                      BL",,"34.1867","-118.3703"
